cell_id,label_candidate,label_type,evidence_id,distance_to_evidence_m,confidence,label_basis
GRID-00030,unlabeled,untested_or_unreported,,2952.95,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00031,unlabeled,untested_or_unreported,,2936.51,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00032,unlabeled,untested_or_unreported,,2920.29,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00033,unlabeled,untested_or_unreported,,2904.28,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00034,unlabeled,untested_or_unreported,,2888.5,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00035,unlabeled,untested_or_unreported,,2872.95,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00036,unlabeled,untested_or_unreported,,2857.62,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00037,unlabeled,untested_or_unreported,,2842.53,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00038,unlabeled,untested_or_unreported,,2827.68,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00039,unlabeled,untested_or_unreported,,2813.07,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00040,unlabeled,untested_or_unreported,,2798.7,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00041,unlabeled,untested_or_unreported,,2784.58,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00042,unlabeled,untested_or_unreported,,2770.72,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00043,unlabeled,untested_or_unreported,,2757.11,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00044,unlabeled,untested_or_unreported,,2743.76,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00045,unlabeled,untested_or_unreported,,2730.68,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00046,unlabeled,untested_or_unreported,,2717.87,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00047,unlabeled,untested_or_unreported,,2705.32,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00048,unlabeled,untested_or_unreported,,2693.06,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00049,unlabeled,untested_or_unreported,,2681.07,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00050,unlabeled,untested_or_unreported,,2669.37,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00051,unlabeled,untested_or_unreported,,2657.95,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00052,unlabeled,untested_or_unreported,,2646.82,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00053,unlabeled,untested_or_unreported,,2635.99,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00054,unlabeled,untested_or_unreported,,2625.46,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00055,unlabeled,untested_or_unreported,,2615.23,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00056,unlabeled,untested_or_unreported,,2605.3,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00057,unlabeled,untested_or_unreported,,2595.68,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00058,unlabeled,untested_or_unreported,,2586.38,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00059,unlabeled,untested_or_unreported,,2577.39,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00060,unlabeled,untested_or_unreported,,2568.72,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00061,unlabeled,untested_or_unreported,,2560.37,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00062,unlabeled,untested_or_unreported,,2552.35,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00063,unlabeled,untested_or_unreported,,2544.65,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00064,unlabeled,untested_or_unreported,,2537.29,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00065,unlabeled,untested_or_unreported,,2530.26,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00066,unlabeled,untested_or_unreported,,2523.57,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00067,unlabeled,untested_or_unreported,,2517.22,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00068,unlabeled,untested_or_unreported,,2511.21,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00069,unlabeled,untested_or_unreported,,2505.54,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00070,unlabeled,untested_or_unreported,,2500.22,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00071,unlabeled,untested_or_unreported,,2495.25,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00072,unlabeled,untested_or_unreported,,2490.64,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00073,unlabeled,untested_or_unreported,,2486.37,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00074,unlabeled,untested_or_unreported,,2482.46,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00075,unlabeled,untested_or_unreported,,2478.91,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00076,unlabeled,untested_or_unreported,,2475.72,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00077,unlabeled,untested_or_unreported,,2472.89,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00078,unlabeled,untested_or_unreported,,2470.42,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00079,unlabeled,untested_or_unreported,,2468.31,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00080,unlabeled,untested_or_unreported,,2466.56,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00081,unlabeled,untested_or_unreported,,2465.18,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00082,unlabeled,untested_or_unreported,,2464.16,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00083,unlabeled,untested_or_unreported,,2463.5,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00084,unlabeled,untested_or_unreported,,2463.22,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00085,unlabeled,untested_or_unreported,,2463.29,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00086,unlabeled,untested_or_unreported,,2463.73,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00087,unlabeled,untested_or_unreported,,2464.54,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00088,unlabeled,untested_or_unreported,,2465.71,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00089,unlabeled,untested_or_unreported,,2467.25,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00090,unlabeled,untested_or_unreported,,2469.15,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00091,unlabeled,untested_or_unreported,,2471.41,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00092,unlabeled,untested_or_unreported,,2474.04,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00093,unlabeled,untested_or_unreported,,2477.02,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00094,unlabeled,untested_or_unreported,,2480.37,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00095,unlabeled,untested_or_unreported,,2484.07,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00096,unlabeled,untested_or_unreported,,2488.13,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00097,unlabeled,untested_or_unreported,,2492.54,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00098,unlabeled,untested_or_unreported,,2497.31,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00099,unlabeled,untested_or_unreported,,2502.42,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00100,unlabeled,untested_or_unreported,,2507.89,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00101,unlabeled,untested_or_unreported,,2513.7,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00102,unlabeled,untested_or_unreported,,2519.85,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00103,unlabeled,untested_or_unreported,,2526.35,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00104,unlabeled,untested_or_unreported,,2533.18,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00105,unlabeled,untested_or_unreported,,2540.36,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00106,unlabeled,untested_or_unreported,,2547.86,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00107,unlabeled,untested_or_unreported,,2555.69,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00108,unlabeled,untested_or_unreported,,2563.85,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00109,unlabeled,untested_or_unreported,,2572.34,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00110,unlabeled,untested_or_unreported,,2581.14,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00111,unlabeled,untested_or_unreported,,2590.27,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00112,unlabeled,untested_or_unreported,,2599.7,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00113,unlabeled,untested_or_unreported,,2609.45,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00114,unlabeled,untested_or_unreported,,2619.51,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00115,unlabeled,untested_or_unreported,,2629.87,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00116,unlabeled,untested_or_unreported,,2640.53,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00117,unlabeled,untested_or_unreported,,2651.48,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00118,unlabeled,untested_or_unreported,,2662.73,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00119,unlabeled,untested_or_unreported,,2674.27,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00120,unlabeled,untested_or_unreported,,2686.09,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00121,unlabeled,untested_or_unreported,,2698.2,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00122,unlabeled,untested_or_unreported,,2710.58,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00123,unlabeled,untested_or_unreported,,2723.24,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00124,unlabeled,untested_or_unreported,,2736.17,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00125,unlabeled,untested_or_unreported,,2749.36,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00126,unlabeled,untested_or_unreported,,2762.82,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00127,unlabeled,untested_or_unreported,,2776.54,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00128,unlabeled,untested_or_unreported,,2790.51,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00129,unlabeled,untested_or_unreported,,2804.73,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00130,unlabeled,untested_or_unreported,,2819.2,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00131,unlabeled,untested_or_unreported,,2833.92,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00132,unlabeled,untested_or_unreported,,2848.87,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00133,unlabeled,untested_or_unreported,,2864.06,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00134,unlabeled,untested_or_unreported,,2879.48,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00135,unlabeled,untested_or_unreported,,2895.13,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00136,unlabeled,untested_or_unreported,,2911.01,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00137,unlabeled,untested_or_unreported,,2927.11,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00138,unlabeled,untested_or_unreported,,2943.42,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00139,unlabeled,untested_or_unreported,,2959.95,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00140,unlabeled,untested_or_unreported,,2976.69,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00141,unlabeled,untested_or_unreported,,2993.64,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00142,unlabeled,untested_or_unreported,,3010.79,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00143,unlabeled,untested_or_unreported,,3028.14,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00144,unlabeled,untested_or_unreported,,3045.69,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00145,unlabeled,untested_or_unreported,,3063.43,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00146,unlabeled,untested_or_unreported,,3081.36,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00147,unlabeled,untested_or_unreported,,3099.48,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00148,unlabeled,untested_or_unreported,,3117.78,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00149,unlabeled,untested_or_unreported,,3136.26,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00150,unlabeled,untested_or_unreported,,3154.92,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00151,unlabeled,untested_or_unreported,,3173.75,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00152,unlabeled,untested_or_unreported,,3192.75,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00153,unlabeled,untested_or_unreported,,3211.92,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00154,unlabeled,untested_or_unreported,,3231.26,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00155,unlabeled,untested_or_unreported,,3250.75,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00156,unlabeled,untested_or_unreported,,3270.41,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00157,unlabeled,untested_or_unreported,,3290.22,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00158,unlabeled,untested_or_unreported,,3310.19,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00159,unlabeled,untested_or_unreported,,3330.3,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00160,unlabeled,untested_or_unreported,,3350.57,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00161,unlabeled,untested_or_unreported,,3370.98,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00162,unlabeled,untested_or_unreported,,3391.53,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00163,unlabeled,untested_or_unreported,,3412.22,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00164,unlabeled,untested_or_unreported,,3433.05,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00165,unlabeled,untested_or_unreported,,3454.01,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00166,unlabeled,untested_or_unreported,,3475.11,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00167,unlabeled,untested_or_unreported,,3496.33,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00168,unlabeled,untested_or_unreported,,3517.69,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00169,unlabeled,untested_or_unreported,,3487.67,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00170,unlabeled,untested_or_unreported,,3466.24,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00171,unlabeled,untested_or_unreported,,3444.93,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00172,unlabeled,untested_or_unreported,,3423.76,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00173,unlabeled,untested_or_unreported,,3402.72,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00174,unlabeled,untested_or_unreported,,3381.82,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00175,unlabeled,untested_or_unreported,,3361.06,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00176,unlabeled,untested_or_unreported,,3340.43,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00177,unlabeled,untested_or_unreported,,3319.95,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00178,unlabeled,untested_or_unreported,,3299.61,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00179,unlabeled,untested_or_unreported,,3279.42,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00180,unlabeled,untested_or_unreported,,3259.39,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00181,unlabeled,untested_or_unreported,,3239.5,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00182,unlabeled,untested_or_unreported,,3219.78,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00183,unlabeled,untested_or_unreported,,3200.21,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00184,unlabeled,untested_or_unreported,,3180.8,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00185,unlabeled,untested_or_unreported,,3161.56,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00186,unlabeled,untested_or_unreported,,3142.49,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00187,unlabeled,untested_or_unreported,,3123.6,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00188,unlabeled,untested_or_unreported,,3104.87,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00189,unlabeled,untested_or_unreported,,3086.33,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00190,unlabeled,untested_or_unreported,,3067.96,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00191,unlabeled,untested_or_unreported,,3049.78,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00192,unlabeled,untested_or_unreported,,3031.79,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00193,unlabeled,untested_or_unreported,,3013.99,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00194,unlabeled,untested_or_unreported,,2996.38,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00195,unlabeled,untested_or_unreported,,2978.97,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00196,unlabeled,untested_or_unreported,,2961.77,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00197,unlabeled,untested_or_unreported,,2944.77,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00198,unlabeled,untested_or_unreported,,2927.97,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00199,unlabeled,untested_or_unreported,,2911.39,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00200,unlabeled,untested_or_unreported,,2895.03,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00201,unlabeled,untested_or_unreported,,2878.88,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00202,unlabeled,untested_or_unreported,,2862.96,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00203,unlabeled,untested_or_unreported,,2847.27,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00204,unlabeled,untested_or_unreported,,2831.8,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00205,unlabeled,untested_or_unreported,,2816.57,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00206,unlabeled,untested_or_unreported,,2801.58,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00207,unlabeled,untested_or_unreported,,2786.83,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00208,unlabeled,untested_or_unreported,,2772.33,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00209,unlabeled,untested_or_unreported,,2758.08,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00210,unlabeled,untested_or_unreported,,2744.08,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00211,unlabeled,untested_or_unreported,,2730.34,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00212,unlabeled,untested_or_unreported,,2716.86,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00213,unlabeled,untested_or_unreported,,2703.65,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00214,unlabeled,untested_or_unreported,,2690.71,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00215,unlabeled,untested_or_unreported,,2678.04,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00216,unlabeled,untested_or_unreported,,2665.65,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00217,unlabeled,untested_or_unreported,,2653.53,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00218,unlabeled,untested_or_unreported,,2641.71,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00219,unlabeled,untested_or_unreported,,2630.17,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00220,unlabeled,untested_or_unreported,,2618.93,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00221,unlabeled,untested_or_unreported,,2607.98,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00222,unlabeled,untested_or_unreported,,2597.33,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00223,unlabeled,untested_or_unreported,,2586.99,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00224,unlabeled,untested_or_unreported,,2576.96,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00225,unlabeled,untested_or_unreported,,2567.23,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00226,unlabeled,untested_or_unreported,,2557.82,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00227,unlabeled,untested_or_unreported,,2548.73,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00228,unlabeled,untested_or_unreported,,2539.97,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00229,unlabeled,untested_or_unreported,,2531.52,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00230,unlabeled,untested_or_unreported,,2523.41,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
GRID-00231,unlabeled,untested_or_unreported,,2515.62,none,No authoritative exploratory drillhole assays published in public domain. Not assumed negative.
