grid_id,latitude,longitude,elevation_m,slope_deg,aspect_deg,ndvi,ndwi,iron_oxide_index,clay_index,ferrous_index,lst_k,acquisition_date,synthetic
GRID-0073,21.853853,80.166653,323.1,20.9,183.7,0.413,0.064,1.485,1.38,0.911,304.1,2026-03-15,True
GRID-0074,21.853853,80.167829,328.0,27.2,142.8,0.394,-0.018,1.152,1.149,1.088,305.5,2026-03-15,True
GRID-0075,21.853853,80.169006,337.2,27.2,180.8,0.412,0.083,1.241,1.057,1.152,304.3,2026-03-15,True
GRID-0076,21.853853,80.170182,355.0,30.0,238.6,0.529,-0.227,1.234,0.992,1.216,301.9,2026-03-15,True
GRID-0077,21.853853,80.171359,379.0,20.1,305.3,0.507,-0.049,1.217,1.124,0.872,300.6,2026-03-15,True
GRID-0078,21.853853,80.172535,395.1,22.4,290.4,0.46,-0.243,1.142,1.07,1.159,304.0,2026-03-15,True
GRID-0079,21.853853,80.173712,393.3,15.2,221.1,0.531,0.001,1.492,1.08,1.05,301.2,2026-03-15,True
GRID-0080,21.853853,80.174888,386.9,10.8,59.7,0.362,0.048,1.254,1.143,1.438,305.4,2026-03-15,True
GRID-0081,21.853853,80.176065,370.8,4.3,185.1,0.597,-0.087,1.533,0.771,0.948,306.2,2026-03-15,True
GRID-0082,21.853853,80.177241,343.9,1.0,160.6,0.431,0.092,1.094,1.163,1.017,306.0,2026-03-15,True
GRID-0083,21.853853,80.178418,330.2,1.0,64.5,0.486,-0.057,0.769,1.136,1.148,301.4,2026-03-15,True
GRID-0084,21.853853,80.179594,326.0,1.0,341.5,0.331,-0.163,0.757,1.088,0.904,303.8,2026-03-15,True
GRID-0085,21.853853,80.180771,330.0,1.0,237.4,0.341,-0.171,1.202,0.836,1.014,304.2,2026-03-15,True
GRID-0086,21.853853,80.181947,344.5,1.1,348.4,0.592,-0.016,1.129,1.219,0.988,302.6,2026-03-15,True
GRID-0087,21.853853,80.183124,365.2,3.7,264.9,0.456,0.034,1.519,1.137,1.05,304.4,2026-03-15,True
GRID-0088,21.853853,80.1843,382.8,6.2,174.1,0.455,-0.109,1.02,1.072,1.252,299.5,2026-03-15,True
GRID-0089,21.853853,80.185476,399.3,14.9,129.2,0.488,0.099,1.359,1.244,1.025,303.4,2026-03-15,True
GRID-0090,21.853853,80.186653,396.0,20.6,78.8,0.558,0.028,1.329,1.081,1.045,305.3,2026-03-15,True
GRID-0091,21.853853,80.187829,383.8,24.2,175.6,0.423,-0.052,1.111,1.013,1.167,305.8,2026-03-15,True
GRID-0092,21.853853,80.189006,366.3,26.5,22.6,0.476,-0.106,1.141,1.081,1.18,305.4,2026-03-15,True
GRID-0093,21.853853,80.190182,342.8,25.8,133.0,0.46,-0.075,1.296,1.246,0.899,303.9,2026-03-15,True
GRID-0094,21.853853,80.191359,329.7,25.2,15.4,0.507,-0.063,0.901,1.255,0.882,303.3,2026-03-15,True
GRID-0095,21.853853,80.192535,329.2,29.9,74.4,0.585,0.046,0.873,1.248,1.027,305.8,2026-03-15,True
GRID-0096,21.853853,80.193712,333.5,18.1,326.8,0.432,0.051,1.386,1.118,1.015,306.2,2026-03-15,True
GRID-0097,21.853853,80.194888,346.7,16.2,130.1,0.397,-0.208,1.126,0.88,1.072,301.4,2026-03-15,True
GRID-0098,21.853853,80.196065,368.1,8.4,169.1,0.518,0.009,0.935,1.041,0.943,303.5,2026-03-15,True
GRID-0099,21.853853,80.197241,387.6,4.2,163.7,0.304,-0.058,1.033,0.978,1.156,302.4,2026-03-15,True
GRID-0100,21.853853,80.198418,397.7,1.0,16.7,0.373,-0.059,1.202,1.151,0.764,304.0,2026-03-15,True
GRID-0101,21.853853,80.199594,392.0,1.0,353.0,0.357,-0.137,0.984,0.862,1.063,304.9,2026-03-15,True
GRID-0102,21.853853,80.200771,377.0,1.0,116.7,0.359,-0.245,1.06,1.193,1.082,306.8,2026-03-15,True
GRID-0103,21.853853,80.201947,352.2,1.0,253.3,0.337,-0.194,1.502,1.122,0.96,303.8,2026-03-15,True
GRID-0104,21.853853,80.203124,341.1,1.0,187.7,0.507,-0.046,1.089,1.205,0.947,302.2,2026-03-15,True
GRID-0105,21.853853,80.2043,325.3,8.1,298.7,0.59,0.014,1.321,1.264,0.912,300.0,2026-03-15,True
GRID-0106,21.855029,80.1643,351.9,16.9,300.6,0.495,-0.061,0.891,1.119,1.131,302.3,2026-03-15,True
GRID-0107,21.855029,80.165476,321.1,19.9,94.8,0.475,-0.189,1.375,1.102,0.922,301.8,2026-03-15,True
GRID-0108,21.855029,80.166653,292.5,22.3,196.0,0.372,0.168,1.301,0.955,0.832,299.0,2026-03-15,True
GRID-0109,21.855029,80.167829,295.5,25.4,62.6,0.412,-0.186,1.13,1.191,1.133,304.2,2026-03-15,True
GRID-0110,21.855029,80.169006,319.6,26.0,235.3,0.48,0.002,1.288,1.033,0.926,303.6,2026-03-15,True
GRID-0111,21.855029,80.170182,357.3,22.9,131.5,0.348,-0.069,1.516,1.049,1.032,304.1,2026-03-15,True
GRID-0112,21.855029,80.171359,397.4,23.8,235.2,0.414,0.047,1.304,1.142,0.983,304.9,2026-03-15,True
GRID-0113,21.855029,80.172535,419.3,17.4,300.8,0.375,-0.293,1.33,0.933,1.131,302.7,2026-03-15,True
GRID-0114,21.855029,80.173712,429.8,10.5,186.0,0.523,-0.094,1.773,1.157,1.072,304.9,2026-03-15,True
GRID-0115,21.855029,80.174888,413.3,6.3,135.5,0.508,-0.094,1.075,0.865,0.975,303.6,2026-03-15,True
GRID-0116,21.855029,80.176065,377.2,2.2,326.6,0.326,-0.067,1.005,1.129,0.954,306.1,2026-03-15,True
GRID-0117,21.855029,80.177241,333.2,1.0,185.9,0.417,-0.167,1.36,1.445,0.976,305.3,2026-03-15,True
GRID-0118,21.855029,80.178418,302.2,1.0,127.0,0.565,-0.211,0.83,1.233,1.224,304.2,2026-03-15,True
GRID-0119,21.855029,80.179594,285.5,1.0,312.4,0.479,-0.246,1.241,1.147,1.13,304.1,2026-03-15,True
GRID-0120,21.855029,80.180771,299.9,1.0,175.3,0.551,-0.118,0.886,1.331,1.235,298.0,2026-03-15,True
GRID-0121,21.855029,80.181947,331.3,4.4,173.6,0.498,-0.046,1.125,1.269,1.177,303.1,2026-03-15,True
GRID-0122,21.855029,80.183124,370.9,6.8,217.5,0.533,-0.119,1.285,0.962,1.25,303.2,2026-03-15,True
GRID-0123,21.855029,80.1843,403.1,16.8,180.7,0.495,0.026,1.525,1.204,1.283,305.4,2026-03-15,True
GRID-0124,21.855029,80.185476,427.1,19.0,50.0,0.261,-0.068,1.387,1.197,0.937,298.8,2026-03-15,True
GRID-0125,21.855029,80.186653,423.1,21.3,59.6,0.531,0.013,1.086,1.223,1.206,304.3,2026-03-15,True
GRID-0126,21.855029,80.187829,395.3,25.9,27.8,0.462,0.005,0.841,1.176,0.736,300.8,2026-03-15,True
GRID-0127,21.855029,80.189006,368.0,28.0,231.7,0.495,-0.049,1.276,1.205,0.996,303.0,2026-03-15,True
GRID-0128,21.855029,80.190182,323.7,23.8,76.1,0.565,-0.167,1.133,1.041,0.939,302.7,2026-03-15,True
GRID-0129,21.855029,80.191359,301.4,25.6,67.3,0.374,-0.078,1.443,1.011,1.168,302.6,2026-03-15,True
GRID-0130,21.855029,80.192535,289.2,19.1,130.4,0.462,-0.03,1.101,0.953,1.178,303.3,2026-03-15,True
GRID-0131,21.855029,80.193712,307.3,15.1,258.2,0.482,-0.095,1.139,1.313,1.164,302.8,2026-03-15,True
GRID-0132,21.855029,80.194888,342.4,12.7,42.6,0.331,-0.068,0.925,1.199,1.219,300.9,2026-03-15,True
GRID-0133,21.855029,80.196065,382.8,4.0,82.9,0.503,-0.027,1.174,1.038,1.158,303.3,2026-03-15,True
GRID-0134,21.855029,80.197241,416.4,1.0,292.0,0.299,-0.258,1.54,0.915,0.791,304.3,2026-03-15,True
GRID-0135,21.855029,80.198418,431.0,1.0,259.3,0.497,0.013,0.989,1.212,1.059,301.5,2026-03-15,True
GRID-0136,21.855029,80.199594,428.6,1.0,173.3,0.498,0.057,1.094,0.936,1.037,300.7,2026-03-15,True
GRID-0137,21.855029,80.200771,392.6,1.0,172.4,0.325,0.087,1.287,1.084,1.341,299.6,2026-03-15,True
GRID-0138,21.855029,80.201947,348.1,1.0,75.9,0.5,-0.005,1.25,0.924,0.848,303.1,2026-03-15,True
GRID-0139,21.855029,80.203124,314.5,8.3,58.0,0.37,0.005,1.229,1.221,1.071,301.7,2026-03-15,True
GRID-0140,21.855029,80.2043,292.8,10.2,300.0,0.414,-0.112,0.812,0.859,1.186,303.3,2026-03-15,True
GRID-0141,21.856206,80.1643,347.7,23.1,8.1,0.499,0.061,1.19,1.13,0.945,301.9,2026-03-15,True
GRID-0142,21.856206,80.165476,309.6,25.3,15.5,0.515,0.071,1.347,1.119,1.045,303.5,2026-03-15,True
GRID-0143,21.856206,80.166653,284.2,26.2,206.5,0.468,0.048,1.514,1.196,1.062,301.8,2026-03-15,True
GRID-0144,21.856206,80.167829,279.3,26.7,58.0,0.484,0.002,1.438,1.339,1.034,302.5,2026-03-15,True
GRID-0145,21.856206,80.169006,313.4,24.2,226.6,0.459,0.143,1.402,1.208,1.172,304.0,2026-03-15,True
GRID-0146,21.856206,80.170182,355.9,19.2,14.1,0.451,-0.067,1.181,1.117,0.932,303.1,2026-03-15,True
GRID-0147,21.856206,80.171359,394.9,15.7,206.0,0.685,0.018,1.125,1.097,1.205,300.5,2026-03-15,True
GRID-0148,21.856206,80.172535,430.6,11.9,20.1,0.444,0.125,1.297,1.248,1.035,303.1,2026-03-15,True
GRID-0149,21.856206,80.173712,436.0,8.6,93.0,0.571,-0.009,0.901,0.576,1.165,300.4,2026-03-15,True
GRID-0150,21.856206,80.174888,419.7,1.0,64.8,0.512,0.069,1.093,1.312,0.893,303.8,2026-03-15,True
GRID-0151,21.856206,80.176065,384.3,1.0,345.0,0.441,-0.18,1.286,1.155,1.142,304.9,2026-03-15,True
GRID-0152,21.856206,80.177241,337.8,1.0,215.8,0.345,-0.199,1.09,0.866,1.063,303.0,2026-03-15,True
GRID-0153,21.856206,80.178418,294.4,1.0,202.9,0.395,-0.132,1.168,1.009,0.794,300.5,2026-03-15,True
GRID-0154,21.856206,80.179594,279.4,1.0,6.7,0.523,-0.186,1.167,1.136,0.926,300.8,2026-03-15,True
GRID-0155,21.856206,80.180771,290.5,5.1,259.0,0.467,-0.153,1.373,1.342,0.994,300.5,2026-03-15,True
GRID-0156,21.856206,80.181947,325.2,7.0,238.2,0.379,-0.132,1.446,0.881,1.123,304.1,2026-03-15,True
GRID-0157,21.856206,80.183124,368.1,12.8,102.0,0.485,-0.07,1.038,1.368,0.957,303.4,2026-03-15,True
GRID-0158,21.856206,80.1843,410.5,18.4,30.9,0.599,0.011,1.279,0.971,1.213,303.1,2026-03-15,True
GRID-0159,21.856206,80.185476,428.0,23.9,161.7,0.529,-0.195,1.122,1.063,0.765,303.2,2026-03-15,True
GRID-0160,21.856206,80.186653,438.4,24.9,357.4,0.35,0.053,1.443,0.988,1.14,304.8,2026-03-15,True
GRID-0161,21.856206,80.187829,410.4,26.2,312.2,0.493,-0.205,0.92,1.041,1.217,300.8,2026-03-15,True
GRID-0162,21.856206,80.189006,369.6,27.2,61.4,0.295,-0.066,0.953,0.835,0.956,307.9,2026-03-15,True
GRID-0163,21.856206,80.190182,315.9,23.4,298.9,0.465,-0.166,1.462,1.212,1.028,302.5,2026-03-15,True
GRID-0164,21.856206,80.191359,289.5,22.1,216.3,0.503,0.028,1.076,1.072,0.908,304.3,2026-03-15,True
GRID-0165,21.856206,80.192535,277.3,15.2,286.1,0.328,-0.072,1.065,1.252,1.026,303.9,2026-03-15,True
GRID-0166,21.856206,80.193712,300.2,8.7,295.4,0.394,0.047,1.083,0.952,0.991,301.2,2026-03-15,True
GRID-0167,21.856206,80.194888,338.8,4.8,65.5,0.515,-0.155,1.389,1.263,1.154,300.9,2026-03-15,True
GRID-0168,21.856206,80.196065,382.1,2.1,237.5,0.407,-0.047,1.215,1.23,1.2,303.0,2026-03-15,True
GRID-0169,21.856206,80.197241,421.7,1.0,95.2,0.4,0.018,1.437,1.108,1.052,301.0,2026-03-15,True
GRID-0170,21.856206,80.198418,440.9,1.0,260.7,0.476,-0.049,1.117,1.148,1.078,303.1,2026-03-15,True
GRID-0171,21.856206,80.199594,430.1,1.0,123.4,0.49,0.045,0.979,1.077,1.09,304.2,2026-03-15,True
GRID-0172,21.856206,80.200771,393.8,1.0,163.2,0.541,-0.032,1.138,1.099,1.05,305.5,2026-03-15,True
GRID-0173,21.856206,80.201947,351.6,2.9,212.6,0.345,-0.049,1.107,1.191,0.808,304.9,2026-03-15,True
GRID-0174,21.856206,80.203124,312.4,9.1,82.7,0.479,-0.112,1.412,1.111,0.82,304.8,2026-03-15,True
GRID-0175,21.856206,80.2043,283.2,12.3,138.8,0.428,-0.027,0.9,1.097,0.687,300.9,2026-03-15,True
GRID-0176,21.857382,80.1643,354.2,27.8,39.1,0.48,-0.189,0.997,1.055,1.199,302.7,2026-03-15,True
GRID-0177,21.857382,80.165476,315.4,29.1,72.8,0.349,-0.125,1.321,1.053,1.071,306.1,2026-03-15,True
GRID-0178,21.857382,80.166653,299.0,28.4,309.5,0.461,0.114,1.246,1.297,0.75,304.9,2026-03-15,True
GRID-0179,21.857382,80.167829,304.3,24.4,181.6,0.561,0.001,1.093,0.946,0.885,302.9,2026-03-15,True
GRID-0180,21.857382,80.169006,323.4,21.0,151.1,0.507,-0.217,1.392,1.243,0.89,303.3,2026-03-15,True
GRID-0181,21.857382,80.170182,358.0,13.3,53.8,0.452,-0.167,1.117,1.101,1.085,302.9,2026-03-15,True
GRID-0182,21.857382,80.171359,386.9,10.3,34.7,0.329,-0.087,1.112,1.08,0.966,304.9,2026-03-15,True
GRID-0183,21.857382,80.172535,420.5,10.5,171.3,0.478,-0.059,1.538,0.92,0.989,303.1,2026-03-15,True
GRID-0184,21.857382,80.173712,429.8,1.0,221.3,0.519,0.053,1.057,1.347,0.958,304.0,2026-03-15,True
GRID-0185,21.857382,80.174888,408.0,1.0,14.1,0.273,0.092,1.021,1.026,1.13,303.6,2026-03-15,True
GRID-0186,21.857382,80.176065,376.7,1.0,282.2,0.272,0.029,0.943,1.04,1.171,302.3,2026-03-15,True
GRID-0187,21.857382,80.177241,339.0,1.0,181.2,0.248,-0.095,1.254,0.993,1.144,303.3,2026-03-15,True
GRID-0188,21.857382,80.178418,308.9,1.0,42.3,0.495,-0.048,1.352,0.913,1.04,305.3,2026-03-15,True
GRID-0189,21.857382,80.179594,296.8,4.6,173.6,0.494,0.028,1.189,1.192,1.259,305.9,2026-03-15,True
GRID-0190,21.857382,80.180771,309.3,7.8,46.9,0.537,-0.022,1.407,1.137,1.218,303.9,2026-03-15,True
GRID-0191,21.857382,80.181947,332.7,14.4,217.3,0.528,-0.107,1.168,1.062,1.314,302.4,2026-03-15,True
GRID-0192,21.857382,80.183124,371.2,17.4,297.9,0.35,-0.168,0.904,0.889,0.791,305.8,2026-03-15,True
GRID-0193,21.857382,80.1843,401.3,22.3,322.9,0.443,0.156,0.911,1.079,0.789,304.3,2026-03-15,True
GRID-0194,21.857382,80.185476,420.3,27.3,279.0,0.366,-0.085,1.096,0.98,1.306,303.6,2026-03-15,True
GRID-0195,21.857382,80.186653,417.1,28.3,233.7,0.456,0.121,1.139,1.2,1.138,301.7,2026-03-15,True
GRID-0196,21.857382,80.187829,402.8,28.6,187.9,0.688,-0.083,1.554,1.126,0.932,301.4,2026-03-15,True
GRID-0197,21.857382,80.189006,364.1,21.8,133.3,0.577,0.012,1.305,1.009,1.007,303.0,2026-03-15,True
GRID-0198,21.857382,80.190182,329.4,19.9,15.6,0.467,-0.008,1.114,1.1,1.124,301.3,2026-03-15,True
GRID-0199,21.857382,80.191359,301.8,13.5,190.7,0.372,-0.006,1.087,1.293,1.159,302.2,2026-03-15,True
GRID-0200,21.857382,80.192535,295.3,6.7,82.6,0.385,0.028,1.394,0.895,1.042,302.3,2026-03-15,True
GRID-0201,21.857382,80.193712,311.7,4.5,288.8,0.428,-0.207,1.261,1.102,1.044,300.8,2026-03-15,True
GRID-0202,21.857382,80.194888,345.1,1.0,284.2,0.41,0.039,1.067,0.889,0.792,301.9,2026-03-15,True
GRID-0203,21.857382,80.196065,380.7,1.0,137.2,0.453,0.133,1.328,1.047,0.865,306.6,2026-03-15,True
GRID-0204,21.857382,80.197241,411.0,1.0,212.1,0.524,-0.029,1.261,1.148,1.044,302.4,2026-03-15,True
GRID-0205,21.857382,80.198418,419.4,1.0,266.9,0.452,-0.156,1.36,1.095,1.095,302.5,2026-03-15,True
GRID-0206,21.857382,80.199594,412.1,1.0,274.2,0.642,0.031,1.441,1.037,0.939,302.3,2026-03-15,True
GRID-0207,21.857382,80.200771,390.1,4.1,250.8,0.488,0.052,1.061,1.171,1.001,304.8,2026-03-15,True
GRID-0208,21.857382,80.201947,351.2,10.5,35.2,0.518,-0.08,0.974,1.168,1.072,307.2,2026-03-15,True
GRID-0209,21.857382,80.203124,316.5,16.8,48.2,0.485,-0.1,0.994,1.176,1.136,303.3,2026-03-15,True
GRID-0210,21.857382,80.2043,300.1,23.3,171.8,0.454,-0.06,1.026,1.017,1.093,305.1,2026-03-15,True
GRID-0211,21.858559,80.1643,348.0,25.7,83.7,0.54,0.045,0.852,0.921,1.411,302.8,2026-03-15,True
GRID-0212,21.858559,80.165476,345.5,23.0,309.3,0.531,-0.018,1.408,0.977,0.97,303.2,2026-03-15,True
GRID-0213,21.858559,80.166653,331.4,24.6,102.0,0.393,-0.049,1.392,1.02,1.247,306.1,2026-03-15,True
GRID-0214,21.858559,80.167829,334.1,22.8,315.6,0.403,0.08,1.595,1.126,0.971,305.6,2026-03-15,True
GRID-0215,21.858559,80.169006,349.1,15.9,147.1,0.592,0.113,1.408,1.093,0.918,301.0,2026-03-15,True
GRID-0216,21.858559,80.170182,355.4,10.8,68.0,0.421,0.02,1.391,0.93,1.084,301.4,2026-03-15,True
GRID-0217,21.858559,80.171359,375.0,5.3,255.3,0.424,-0.016,1.013,1.11,0.759,299.5,2026-03-15,True
GRID-0218,21.858559,80.172535,375.0,1.0,284.2,0.575,-0.09,1.465,1.088,0.97,303.5,2026-03-15,True
GRID-0219,21.858559,80.173712,385.1,1.0,208.1,0.434,-0.084,1.259,1.216,1.022,298.4,2026-03-15,True
GRID-0220,21.858559,80.174888,379.8,1.0,42.4,0.55,-0.143,1.326,1.086,1.066,303.7,2026-03-15,True
