event_id,equipment_id,equipment_model,mine_block_id,event_type,start_time,end_time,duration_hours,cause_code,description,synthetic
EVT-1046,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-10-06 19:04:54,2025-10-06 23:46:54,4.7,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1047,EXC-01,Excavator 120T,BLOCK_A,repair,2025-10-09 10:59:30,2025-10-09 17:35:30,6.6,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1048,EXC-01,Excavator 120T,BLOCK_A,repair,2025-10-18 01:06:01,2025-10-18 05:42:01,4.6,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1049,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-10-27 05:31:27,2025-10-27 09:49:27,4.3,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1050,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-11-04 06:28:24,2025-11-04 09:58:24,3.5,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1051,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-11-13 02:52:50,2025-11-13 07:58:50,5.1,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1052,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-11-16 15:07:22,2025-11-16 21:01:22,5.9,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1053,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-11-23 08:08:56,2025-11-23 12:14:56,4.1,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1054,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-12-07 17:16:46,2025-12-07 21:40:46,4.4,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1055,EXC-01,Excavator 120T,BLOCK_A,repair,2025-12-10 08:33:17,2025-12-10 11:09:17,2.6,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1056,EXC-01,Excavator 120T,BLOCK_A,downtime,2025-12-18 02:41:38,2025-12-18 10:17:38,7.6,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1057,EXC-01,Excavator 120T,BLOCK_A,maintenance,2025-12-21 23:49:57,2025-12-22 02:31:57,2.7,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1058,EXC-01,Excavator 120T,BLOCK_A,maintenance,2026-01-01 13:24:08,2026-01-01 18:42:08,5.3,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1059,EXC-01,Excavator 120T,BLOCK_A,downtime,2026-01-04 19:15:43,2026-01-04 23:33:43,4.3,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1060,EXC-01,Excavator 120T,BLOCK_A,downtime,2026-01-07 21:51:12,2026-01-08 00:33:12,2.7,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1061,EXC-01,Excavator 120T,BLOCK_A,downtime,2026-01-16 14:44:19,2026-01-16 23:20:19,8.6,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1062,EXC-01,Excavator 120T,BLOCK_A,downtime,2026-01-20 20:52:44,2026-01-20 22:28:44,1.6,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1063,EXC-01,Excavator 120T,BLOCK_A,repair,2026-01-26 23:00:57,2026-01-27 02:48:57,3.8,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1064,EXC-01,Excavator 120T,BLOCK_A,downtime,2026-02-05 08:41:04,2026-02-05 13:23:04,4.7,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1065,EXC-01,Excavator 120T,BLOCK_A,repair,2026-02-17 23:32:37,2026-02-18 11:14:37,11.7,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1066,EXC-01,Excavator 120T,BLOCK_A,maintenance,2026-02-22 22:09:03,2026-02-23 04:33:03,6.4,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1067,EXC-01,Excavator 120T,BLOCK_A,maintenance,2026-03-02 17:57:24,2026-03-02 19:57:24,2.0,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1068,EXC-01,Excavator 120T,BLOCK_A,maintenance,2026-03-05 01:27:06,2026-03-05 03:09:06,1.7,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1069,EXC-01,Excavator 120T,BLOCK_A,maintenance,2026-03-14 02:12:12,2026-03-14 12:24:12,10.2,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1070,EXC-01,Excavator 120T,BLOCK_A,downtime,2026-03-24 07:46:58,2026-03-24 17:40:58,9.9,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1071,EXC-01,Excavator 120T,BLOCK_A,maintenance,2026-03-29 01:33:06,2026-03-29 08:27:06,6.9,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1072,EXC-01,Excavator 120T,BLOCK_A,repair,2026-04-04 11:39:49,2026-04-04 14:39:49,3.0,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1073,EXC-01,Excavator 120T,BLOCK_A,repair,2026-04-11 13:47:31,2026-04-11 16:47:31,3.0,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1074,EXC-01,Excavator 120T,BLOCK_A,downtime,2026-04-24 22:53:47,2026-04-25 00:41:47,1.8,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1075,EXC-01,Excavator 120T,BLOCK_A,repair,2026-05-02 18:15:44,2026-05-03 01:45:44,7.5,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1076,EXC-01,Excavator 120T,BLOCK_A,repair,2026-05-10 16:00:48,2026-05-10 18:18:48,2.3,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1077,EXC-01,Excavator 120T,BLOCK_A,maintenance,2026-05-18 10:54:20,2026-05-18 16:18:20,5.4,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1078,EXC-01,Excavator 120T,BLOCK_A,downtime,2026-05-24 12:31:11,2026-05-24 17:07:11,4.6,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1079,EXC-01,Excavator 120T,BLOCK_A,maintenance,2026-06-10 03:40:32,2026-06-10 07:16:32,3.6,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1080,EXC-01,Excavator 120T,BLOCK_A,repair,2026-06-15 11:26:18,2026-06-15 14:38:18,3.2,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1081,EXC-01,Excavator 120T,BLOCK_A,maintenance,2026-06-20 03:32:21,2026-06-20 09:02:21,5.5,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1082,EXC-01,Excavator 120T,BLOCK_A,downtime,2026-06-27 10:50:12,2026-06-27 21:14:12,10.4,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1083,EXC-01,Excavator 120T,BLOCK_A,repair,2026-07-05 09:13:29,2026-07-05 15:07:29,5.9,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1084,EXC-01,Excavator 120T,BLOCK_A,repair,2026-07-12 22:04:14,2026-07-13 02:16:14,4.2,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1085,EXC-01,Excavator 120T,BLOCK_A,downtime,2026-07-17 05:11:54,2026-07-17 12:41:54,7.5,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1086,EXC-01,Excavator 120T,BLOCK_A,repair,2026-07-21 01:44:22,2026-07-21 13:14:22,11.5,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1087,EXC-01,Excavator 120T,BLOCK_A,maintenance,2026-07-23 17:16:02,2026-07-23 20:10:02,2.9,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1088,EXC-01,Excavator 120T,BLOCK_A,downtime,2026-07-27 01:26:57,2026-07-27 06:26:57,5.0,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1089,EXC-01,Excavator 120T,BLOCK_A,maintenance,2026-07-31 13:03:09,2026-07-31 15:39:09,2.6,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1090,EXC-01,Excavator 120T,BLOCK_A,downtime,2026-08-04 05:42:53,2026-08-04 16:24:53,10.7,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1091,EXC-01,Excavator 120T,BLOCK_A,repair,2026-08-09 17:04:42,2026-08-09 23:10:42,6.1,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1092,EXC-01,Excavator 120T,BLOCK_A,downtime,2026-08-17 02:37:31,2026-08-17 07:13:31,4.6,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1093,EXC-01,Excavator 120T,BLOCK_A,maintenance,2026-08-20 01:25:57,2026-08-20 05:01:57,3.6,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1094,EXC-02,Excavator 85T,BLOCK_A,maintenance,2025-01-13 21:45:33,2025-01-14 02:27:33,4.7,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1095,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-01-20 17:39:41,2025-01-20 23:09:41,5.5,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1096,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-01-27 13:41:00,2025-01-27 16:47:00,3.1,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1097,EXC-02,Excavator 85T,BLOCK_A,maintenance,2025-02-04 09:34:51,2025-02-04 10:40:51,1.1,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1098,EXC-02,Excavator 85T,BLOCK_A,repair,2025-02-17 00:37:59,2025-02-17 09:07:59,8.5,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1099,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-02-28 03:23:09,2025-02-28 08:41:09,5.3,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1100,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-03-06 23:10:40,2025-03-07 08:46:40,9.6,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1101,EXC-02,Excavator 85T,BLOCK_A,maintenance,2025-03-13 08:10:03,2025-03-13 10:10:03,2.0,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1102,EXC-02,Excavator 85T,BLOCK_A,maintenance,2025-03-16 02:49:53,2025-03-16 07:37:53,4.8,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1103,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-03-26 16:08:48,2025-03-26 20:02:48,3.9,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1104,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-04-03 16:06:40,2025-04-04 04:42:40,12.6,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1105,EXC-02,Excavator 85T,BLOCK_A,repair,2025-04-10 00:45:35,2025-04-10 07:03:35,6.3,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1106,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-04-13 02:32:03,2025-04-13 06:50:03,4.3,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1107,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-04-21 07:05:23,2025-04-21 13:11:23,6.1,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1108,EXC-02,Excavator 85T,BLOCK_A,maintenance,2025-04-28 06:20:40,2025-04-28 09:44:40,3.4,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1109,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-05-13 19:16:15,2025-05-14 00:52:15,5.6,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1110,EXC-02,Excavator 85T,BLOCK_A,maintenance,2025-05-22 20:44:50,2025-05-23 15:08:50,18.4,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1111,EXC-02,Excavator 85T,BLOCK_A,maintenance,2025-05-26 14:46:00,2025-05-26 17:58:00,3.2,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1112,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-06-02 17:27:00,2025-06-02 22:09:00,4.7,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1113,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-06-09 19:56:17,2025-06-09 22:44:17,2.8,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1114,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-06-20 22:45:08,2025-06-21 01:21:08,2.6,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1115,EXC-02,Excavator 85T,BLOCK_A,maintenance,2025-07-02 08:51:45,2025-07-02 16:15:45,7.4,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1116,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-07-09 18:35:47,2025-07-09 20:53:47,2.3,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1117,EXC-02,Excavator 85T,BLOCK_A,repair,2025-07-20 12:47:30,2025-07-20 18:23:30,5.6,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1118,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-08-02 06:40:30,2025-08-02 13:46:30,7.1,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1119,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-08-08 21:59:02,2025-08-09 01:29:02,3.5,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1120,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-08-12 15:00:44,2025-08-13 00:24:44,9.4,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1121,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-08-17 16:01:00,2025-08-18 00:49:00,8.8,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1122,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-08-19 22:42:49,2025-08-20 02:12:49,3.5,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1123,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-08-23 16:34:19,2025-08-23 18:40:19,2.1,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1124,EXC-02,Excavator 85T,BLOCK_A,repair,2025-08-27 14:54:47,2025-08-27 20:48:47,5.9,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1125,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-09-06 01:06:59,2025-09-06 05:18:59,4.2,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1126,EXC-02,Excavator 85T,BLOCK_A,repair,2025-09-11 03:30:23,2025-09-11 08:24:23,4.9,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1127,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-09-17 09:44:27,2025-09-17 15:32:27,5.8,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1128,EXC-02,Excavator 85T,BLOCK_A,repair,2025-09-23 19:30:06,2025-09-23 21:24:06,1.9,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1129,EXC-02,Excavator 85T,BLOCK_A,repair,2025-09-29 08:54:07,2025-09-29 12:18:07,3.4,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1130,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-10-06 04:43:31,2025-10-06 16:25:31,11.7,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1131,EXC-02,Excavator 85T,BLOCK_A,maintenance,2025-10-11 22:23:20,2025-10-12 03:23:20,5.0,ENGINE_OVERHEAT,Coolant pump failure during high ambient temp,True
EVT-1132,EXC-02,Excavator 85T,BLOCK_A,repair,2025-10-20 17:26:14,2025-10-20 23:32:14,6.1,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1133,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-10-26 10:46:09,2025-10-26 15:28:09,4.7,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1134,EXC-02,Excavator 85T,BLOCK_A,repair,2025-11-07 06:31:19,2025-11-07 12:31:19,6.0,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1135,EXC-02,Excavator 85T,BLOCK_A,repair,2025-11-15 10:01:44,2025-11-15 18:43:44,8.7,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1136,EXC-02,Excavator 85T,BLOCK_A,maintenance,2025-11-18 12:18:54,2025-11-18 13:42:54,1.4,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1137,EXC-02,Excavator 85T,BLOCK_A,maintenance,2025-11-24 09:51:59,2025-11-24 16:39:59,6.8,BLAST_VIBRATION_CHECK,Safety inspection after bench blast,True
EVT-1138,EXC-02,Excavator 85T,BLOCK_A,repair,2025-12-02 03:26:59,2025-12-02 07:38:59,4.2,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1139,EXC-02,Excavator 85T,BLOCK_A,maintenance,2025-12-18 12:05:18,2025-12-18 19:41:18,7.6,ELECTRICAL_FAULT,Alternator circuit grounding issue,True
EVT-1140,EXC-02,Excavator 85T,BLOCK_A,downtime,2025-12-26 02:27:01,2025-12-26 05:57:01,3.5,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1141,EXC-02,Excavator 85T,BLOCK_A,downtime,2026-01-03 19:48:15,2026-01-03 23:18:15,3.5,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1142,EXC-02,Excavator 85T,BLOCK_A,maintenance,2026-01-06 06:10:04,2026-01-06 08:22:04,2.2,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1143,EXC-02,Excavator 85T,BLOCK_A,downtime,2026-01-12 05:11:52,2026-01-12 09:29:52,4.3,TRACK_DAMAGE,Track shoe displacement on haulage floor,True
EVT-1144,EXC-02,Excavator 85T,BLOCK_A,downtime,2026-01-21 09:18:28,2026-01-21 11:24:28,2.1,SCHEDULED_PM,250-hour routine preventive maintenance inspection,True
EVT-1145,EXC-02,Excavator 85T,BLOCK_A,maintenance,2026-01-25 19:52:59,2026-01-25 23:58:59,4.1,TIRE_WEAR,Severe tire gouging from jagged gondite boulders,True
EVT-1146,EXC-02,Excavator 85T,BLOCK_A,maintenance,2026-01-31 07:41:04,2026-01-31 12:35:04,4.9,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1147,EXC-02,Excavator 85T,BLOCK_A,repair,2026-02-07 22:44:54,2026-02-08 01:38:54,2.9,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
EVT-1148,EXC-02,Excavator 85T,BLOCK_A,repair,2026-02-10 12:26:36,2026-02-10 14:14:36,1.8,HYDRAULIC_LEAK,Hydraulic seal rupture on main boom,True
