hole_id,latitude,longitude,collar_elevation_m,total_depth_m,depth_from_m,depth_to_m,thickness_m,mn_grade_pct,fe_grade_pct,sio2_pct,lithology_code,sample_date,structural_domain,is_ore_bearing,source
DH-0038,21.864875,80.169115,421.9,49.0,19.5,23.0,3.5,0.31,3.6,49.7,TIRODI_GNEISS,2024-01-19,Syncline_Axis_West,0,synthetic
DH-0039,21.866436,80.16857,413.9,82.1,64.3,65.5,1.2,1.16,2.06,58.59,CALC_GRANULITE,2024-05-18,Syncline_Axis_West,0,synthetic
DH-0040,21.862382,80.17254,383.6,132.4,53.4,58.3,4.9,2.64,4.57,64.53,CALC_GRANULITE,2023-05-05,Syncline_Axis_West,0,synthetic
DH-0041,21.863296,80.169701,424.4,56.8,14.4,19.2,4.8,23.35,6.07,22.8,GONDITE,2025-12-12,Syncline_Axis_West,1,synthetic
DH-0042,21.870691,80.182865,414.7,78.6,55.6,63.5,7.9,1.13,2.05,71.06,TIRODI_GNEISS,2025-01-05,Syncline_Axis_West,0,synthetic
DH-0043,21.86655,80.171403,373.6,109.8,39.2,48.2,9.0,16.79,10.9,18.4,GONDITE,2024-10-20,Syncline_Axis_West,0,synthetic
DH-0044,21.863332,80.174214,390.8,97.4,11.9,21.3,9.4,30.31,4.99,20.6,MANSAR_SCHIST,2023-03-02,Syncline_Axis_West,1,synthetic
DH-0045,21.860934,80.175017,382.9,165.9,18.3,32.2,13.9,18.33,8.23,23.77,GONDITE,2025-12-20,Syncline_Axis_West,1,synthetic
DH-0046,21.859315,80.176305,375.0,93.3,76.5,80.2,3.7,30.65,7.23,18.61,MANSAR_SCHIST,2024-05-08,Syncline_Axis_West,1,synthetic
DH-0047,21.862964,80.174772,423.2,81.0,52.8,66.2,13.4,34.37,6.58,29.31,MANSAR_SCHIST,2025-03-06,Syncline_Axis_West,1,synthetic
DH-0048,21.862721,80.17099,378.5,92.9,18.7,23.8,5.1,7.91,2.95,65.79,QUARTZITE,2025-01-04,Syncline_Axis_West,0,synthetic
DH-0049,21.858699,80.174917,366.7,168.4,112.9,116.4,3.5,4.44,2.63,52.09,QUARTZITE,2023-10-19,Syncline_Axis_West,0,synthetic
DH-0050,21.86383,80.165545,378.5,121.0,93.7,100.4,6.7,2.58,3.63,47.32,QUARTZITE,2025-10-05,Syncline_Axis_West,0,synthetic
DH-0051,21.862901,80.175268,408.0,118.2,55.7,59.2,3.5,29.59,6.04,25.93,MANSAR_SCHIST,2024-04-21,Syncline_Axis_West,1,synthetic
DH-0052,21.861569,80.17819,372.0,126.2,63.5,64.5,1.0,2.77,5.2,48.12,QUARTZITE,2024-02-17,Syncline_Axis_West,0,synthetic
DH-0053,21.864557,80.186142,363.0,153.9,104.6,112.0,7.4,2.06,3.09,56.66,CALC_GRANULITE,2024-10-24,Syncline_Axis_West,0,synthetic
DH-0054,21.859905,80.174213,422.0,53.0,27.3,34.7,7.4,2.17,6.11,55.64,QUARTZITE,2023-08-16,Syncline_Axis_West,0,synthetic
DH-0055,21.857267,80.177684,406.3,159.3,143.6,147.2,3.6,2.43,3.2,53.37,CALC_GRANULITE,2025-03-21,Syncline_Axis_West,0,synthetic
DH-0056,21.859403,80.17261,378.6,124.1,37.9,39.9,2.0,3.41,3.66,52.71,CALC_GRANULITE,2023-11-19,Syncline_Axis_West,0,synthetic
DH-0057,21.861977,80.173938,403.6,143.9,107.1,114.8,7.7,0.56,4.98,64.42,CALC_GRANULITE,2024-10-11,Syncline_Axis_West,0,synthetic
DH-0058,21.869019,80.17095,385.0,68.5,42.1,49.6,7.5,1.13,3.24,65.01,TIRODI_GNEISS,2024-12-31,Syncline_Axis_West,0,synthetic
DH-0059,21.861042,80.173454,424.2,75.1,53.9,57.5,3.6,1.9,2.52,56.29,TIRODI_GNEISS,2024-08-26,Syncline_Axis_West,0,synthetic
DH-0060,21.863949,80.173687,416.6,62.2,45.3,58.7,13.4,24.99,4.89,23.76,MANSAR_SCHIST,2025-03-12,Syncline_Axis_West,1,synthetic
DH-0061,21.871261,80.174618,376.4,159.9,9.7,14.9,5.2,0.24,5.05,58.96,TIRODI_GNEISS,2024-03-28,Syncline_Axis_West,0,synthetic
DH-0062,21.86439,80.177594,382.9,131.4,109.7,113.8,4.1,36.48,4.11,18.54,MANSAR_SCHIST,2023-06-09,Syncline_Axis_West,1,synthetic
DH-0063,21.864159,80.17667,392.3,77.1,18.7,31.4,12.7,29.0,5.43,16.97,GONDITE,2023-07-01,Syncline_Axis_West,1,synthetic
DH-0064,21.861789,80.172373,421.7,155.9,95.0,102.2,7.2,1.35,6.77,52.61,TIRODI_GNEISS,2025-07-03,Syncline_Axis_West,0,synthetic
DH-0065,21.850318,80.180084,359.3,46.5,12.9,14.4,1.5,3.37,3.37,52.34,QUARTZITE,2024-06-09,Syncline_Axis_West,0,synthetic
DH-0066,21.858757,80.167539,376.6,151.2,5.2,8.9,3.7,1.88,4.87,77.37,TIRODI_GNEISS,2025-05-09,Syncline_Axis_West,0,synthetic
DH-0067,21.865723,80.173968,397.6,175.8,84.4,91.3,6.9,26.41,5.44,18.79,GONDITE,2025-02-07,Syncline_Axis_West,1,synthetic
DH-0068,21.860543,80.170351,355.3,58.7,39.5,44.5,5.0,1.54,2.43,47.87,CALC_GRANULITE,2024-04-06,Syncline_Axis_West,0,synthetic
DH-0069,21.864204,80.1744,365.2,67.0,43.6,46.5,2.9,29.01,7.94,17.89,MANSAR_SCHIST,2023-02-11,Syncline_Axis_West,1,synthetic
DH-0070,21.860849,80.165635,377.0,88.0,10.4,12.6,2.2,1.77,3.17,71.68,QUARTZITE,2025-02-07,Syncline_Axis_West,0,synthetic
DH-0071,21.862168,80.165687,375.8,66.7,32.8,45.6,12.8,26.66,8.06,28.52,MANSAR_SCHIST,2023-07-10,Syncline_Axis_West,1,synthetic
DH-0072,21.857867,80.167983,387.8,90.6,72.5,78.4,5.9,1.55,3.63,64.35,TIRODI_GNEISS,2025-06-02,Syncline_Axis_West,0,synthetic
DH-0073,21.86955,80.170434,366.5,172.2,100.5,104.5,4.0,4.27,6.45,63.92,QUARTZITE,2023-04-20,Syncline_Axis_West,0,synthetic
DH-0074,21.854106,80.168521,397.0,58.7,47.6,51.5,3.9,6.97,5.35,66.17,QUARTZITE,2024-06-27,Syncline_Axis_West,0,synthetic
DH-0075,21.86295,80.176952,413.3,134.2,33.3,34.6,1.3,2.22,5.65,57.44,CALC_GRANULITE,2025-10-02,Syncline_Axis_West,0,synthetic
DH-0076,21.864665,80.168556,368.8,65.7,5.2,6.8,1.6,3.56,2.43,46.0,CALC_GRANULITE,2025-09-10,Syncline_Axis_West,0,synthetic
DH-0077,21.857016,80.179408,384.3,72.0,16.8,22.3,5.5,2.06,2.02,74.65,QUARTZITE,2023-06-17,Syncline_Axis_West,0,synthetic
DH-0078,21.862012,80.167199,423.0,108.9,34.0,37.8,3.8,2.2,4.54,69.09,QUARTZITE,2025-09-28,Syncline_Axis_West,0,synthetic
DH-0079,21.867639,80.178235,387.0,165.8,22.8,31.6,8.8,22.37,8.54,24.17,GONDITE,2024-01-14,Syncline_Axis_West,1,synthetic
DH-0080,21.867478,80.170481,383.7,95.1,35.9,43.5,7.6,22.41,7.98,21.06,GONDITE,2024-06-23,Syncline_Axis_West,1,synthetic
DH-0081,21.875607,80.192473,401.3,104.4,28.0,33.6,5.6,21.06,9.19,16.5,GONDITE,2023-05-07,Main_Lode_Central,1,synthetic
DH-0082,21.872024,80.191749,362.2,65.4,38.6,40.2,1.6,1.42,2.57,75.29,TIRODI_GNEISS,2024-12-05,Main_Lode_Central,0,synthetic
DH-0083,21.874849,80.188811,369.2,154.1,135.3,144.6,9.3,15.63,9.58,21.91,GONDITE,2023-05-05,Main_Lode_Central,0,synthetic
DH-0084,21.878616,80.189646,381.0,158.5,138.9,149.3,10.4,18.93,5.67,21.97,GONDITE,2025-08-30,Main_Lode_Central,1,synthetic
DH-0085,21.877074,80.180991,401.9,122.3,56.1,57.7,1.6,6.12,3.03,48.82,QUARTZITE,2023-03-13,Main_Lode_Central,0,synthetic
DH-0086,21.870913,80.191285,360.9,112.8,83.3,89.0,5.7,0.79,5.78,55.37,TIRODI_GNEISS,2023-10-29,Main_Lode_Central,0,synthetic
DH-0087,21.876556,80.186802,394.4,61.2,13.0,20.9,7.9,2.24,4.42,57.14,CALC_GRANULITE,2024-03-09,Main_Lode_Central,0,synthetic
DH-0088,21.874766,80.189394,366.7,154.1,10.9,12.4,1.5,5.31,5.89,71.69,QUARTZITE,2025-06-10,Main_Lode_Central,0,synthetic
DH-0089,21.877306,80.196734,367.4,72.3,49.5,55.0,5.5,31.18,6.57,23.16,MANSAR_SCHIST,2023-05-18,Main_Lode_Central,1,synthetic
DH-0090,21.886579,80.190112,357.2,56.7,27.5,39.9,12.4,26.99,5.35,25.04,GONDITE,2025-11-30,Main_Lode_Central,1,synthetic
DH-0091,21.877934,80.190473,413.5,106.9,74.4,84.1,9.7,31.86,4.82,19.73,MANSAR_SCHIST,2025-12-06,Main_Lode_Central,1,synthetic
DH-0092,21.879469,80.197375,388.9,150.5,62.0,66.2,4.2,34.85,5.91,28.41,MANSAR_SCHIST,2023-07-25,Main_Lode_Central,1,synthetic
DH-0093,21.87024,80.197162,357.8,169.9,125.8,132.3,6.5,1.8,6.09,63.97,TIRODI_GNEISS,2026-01-01,Main_Lode_Central,0,synthetic
DH-0094,21.885034,80.187858,387.6,163.8,44.3,49.9,5.6,1.58,6.19,68.16,CALC_GRANULITE,2025-08-26,Main_Lode_Central,0,synthetic
DH-0095,21.880372,80.187811,389.1,50.1,20.1,29.7,9.6,15.4,8.9,29.3,GONDITE,2025-04-02,Main_Lode_Central,0,synthetic
DH-0096,21.878705,80.195743,364.9,50.2,27.4,30.5,3.1,20.21,9.98,31.23,GONDITE,2025-08-31,Main_Lode_Central,1,synthetic
DH-0097,21.87965,80.186415,395.2,169.3,12.9,24.8,11.9,23.77,9.64,17.52,GONDITE,2024-09-12,Main_Lode_Central,1,synthetic
DH-0098,21.875538,80.192111,360.4,87.0,63.2,73.6,10.4,29.07,6.92,27.94,GONDITE,2024-04-11,Main_Lode_Central,1,synthetic
DH-0099,21.869671,80.204014,411.5,63.1,26.3,33.1,6.8,1.64,2.5,66.0,TIRODI_GNEISS,2024-07-05,Main_Lode_Central,0,synthetic
DH-0100,21.878874,80.191806,370.7,143.4,87.9,90.2,2.3,0.98,3.91,48.52,TIRODI_GNEISS,2024-03-08,Main_Lode_Central,0,synthetic
DH-0101,21.876896,80.189763,407.5,168.3,116.2,127.4,11.2,28.91,4.57,24.5,GONDITE,2025-02-04,Main_Lode_Central,1,synthetic
DH-0102,21.88197,80.186753,384.9,155.8,116.4,117.9,1.5,1.16,5.82,47.59,TIRODI_GNEISS,2025-11-03,Main_Lode_Central,0,synthetic
DH-0103,21.881402,80.20127,397.7,99.5,79.3,80.5,1.2,1.85,5.93,52.25,TIRODI_GNEISS,2024-01-30,Main_Lode_Central,0,synthetic
DH-0104,21.876233,80.190588,398.6,163.1,129.0,131.7,2.7,2.16,6.25,71.35,QUARTZITE,2025-07-23,Main_Lode_Central,0,synthetic
DH-0105,21.868657,80.190494,383.4,51.8,30.9,33.8,2.9,1.21,4.9,47.75,CALC_GRANULITE,2025-08-08,Main_Lode_Central,0,synthetic
DH-0106,21.879278,80.186579,376.2,113.2,95.6,101.4,5.8,1.1,4.58,46.2,TIRODI_GNEISS,2024-05-10,Main_Lode_Central,0,synthetic
DH-0107,21.867292,80.19453,384.1,95.3,40.8,48.5,7.7,1.39,2.77,61.49,TIRODI_GNEISS,2025-08-29,Main_Lode_Central,0,synthetic
DH-0108,21.87539,80.197407,366.6,124.2,42.6,49.5,6.9,1.24,2.63,57.46,CALC_GRANULITE,2024-06-13,Main_Lode_Central,0,synthetic
DH-0109,21.873388,80.190673,397.3,146.1,16.9,18.1,1.2,1.94,6.15,53.79,TIRODI_GNEISS,2023-04-12,Main_Lode_Central,0,synthetic
DH-0110,21.871293,80.1912,413.4,67.0,45.6,48.1,2.5,1.56,6.08,52.25,TIRODI_GNEISS,2024-03-29,Main_Lode_Central,0,synthetic
DH-0111,21.873152,80.196919,401.7,132.4,38.9,46.1,7.2,33.29,10.8,12.87,MANSAR_SCHIST,2023-02-11,Main_Lode_Central,1,synthetic
DH-0112,21.869629,80.187449,411.5,161.7,6.3,13.7,7.4,1.07,5.59,56.94,TIRODI_GNEISS,2023-12-21,Main_Lode_Central,0,synthetic
DH-0113,21.881531,80.186707,409.6,126.2,32.6,42.1,9.5,24.3,5.49,19.03,MANSAR_SCHIST,2024-09-17,Main_Lode_Central,1,synthetic
DH-0114,21.880469,80.18416,413.0,141.2,59.2,66.0,6.8,24.13,6.57,22.12,GONDITE,2024-12-15,Main_Lode_Central,1,synthetic
DH-0115,21.879871,80.191593,368.5,107.0,48.3,58.6,10.3,32.04,6.76,15.26,MANSAR_SCHIST,2025-03-24,Main_Lode_Central,1,synthetic
DH-0116,21.877114,80.185308,376.0,123.9,60.7,66.3,5.6,4.14,3.06,65.75,QUARTZITE,2025-02-05,Main_Lode_Central,0,synthetic
DH-0117,21.876349,80.182116,388.8,120.8,69.4,72.5,3.1,1.63,3.08,74.84,TIRODI_GNEISS,2023-08-10,Main_Lode_Central,0,synthetic
DH-0118,21.873991,80.195776,367.6,110.0,94.0,103.9,9.9,19.99,7.9,12.93,GONDITE,2024-07-21,Main_Lode_Central,1,synthetic
DH-0119,21.874209,80.188682,373.0,80.3,67.2,72.8,5.6,1.31,3.14,73.77,TIRODI_GNEISS,2024-01-21,Main_Lode_Central,0,synthetic
DH-0120,21.879026,80.194043,414.3,65.2,50.2,56.8,6.6,4.76,3.87,52.38,QUARTZITE,2025-04-07,Main_Lode_Central,0,synthetic
DH-0121,21.880369,80.191013,396.6,134.2,21.7,22.9,1.2,0.84,5.48,66.41,TIRODI_GNEISS,2025-10-15,Main_Lode_Central,0,synthetic
DH-0122,21.881149,80.197128,370.5,179.7,150.3,157.5,7.2,31.62,4.32,21.35,GONDITE,2023-03-14,Main_Lode_Central,1,synthetic
DH-0123,21.868946,80.185246,409.7,123.7,93.7,97.1,3.4,1.83,3.98,63.62,TIRODI_GNEISS,2024-03-31,Main_Lode_Central,0,synthetic
DH-0124,21.877911,80.191982,407.2,137.7,112.2,122.4,10.2,25.52,6.21,21.01,GONDITE,2025-11-04,Main_Lode_Central,1,synthetic
DH-0125,21.879488,80.189238,371.4,85.5,64.3,71.4,7.1,3.85,5.32,63.63,QUARTZITE,2024-01-06,Main_Lode_Central,0,synthetic
DH-0126,21.879308,80.186618,380.8,84.7,17.6,23.1,5.5,23.06,8.56,12.9,GONDITE,2024-01-10,Main_Lode_Central,1,synthetic
DH-0127,21.880091,80.187277,391.4,172.8,106.7,111.8,5.1,19.08,8.47,15.99,GONDITE,2024-04-02,Main_Lode_Central,1,synthetic
DH-0128,21.878565,80.195087,388.0,145.5,59.9,67.1,7.2,1.87,3.18,66.83,CALC_GRANULITE,2025-01-31,Main_Lode_Central,0,synthetic
DH-0129,21.869118,80.194405,379.1,80.2,35.2,37.0,1.8,1.52,5.55,66.49,CALC_GRANULITE,2023-04-20,Main_Lode_Central,0,synthetic
DH-0130,21.868185,80.184274,380.6,162.0,90.3,95.6,5.3,0.35,3.34,55.6,TIRODI_GNEISS,2025-08-25,Main_Lode_Central,0,synthetic
DH-0131,21.88254,80.191615,382.7,165.1,23.0,28.8,5.8,1.69,6.92,73.91,TIRODI_GNEISS,2025-12-21,Main_Lode_Central,0,synthetic
DH-0132,21.882118,80.198624,364.1,85.3,66.2,68.3,2.1,5.4,4.53,67.88,QUARTZITE,2024-02-15,Main_Lode_Central,0,synthetic
DH-0133,21.881055,80.176949,382.9,91.3,73.1,81.0,7.9,1.78,6.2,70.94,TIRODI_GNEISS,2023-10-21,Main_Lode_Central,0,synthetic
DH-0134,21.87878,80.188646,368.8,87.7,58.8,66.9,8.1,33.99,8.48,20.32,MANSAR_SCHIST,2023-12-29,Main_Lode_Central,1,synthetic
DH-0135,21.878607,80.199911,374.3,87.3,5.3,8.2,2.9,2.83,5.47,45.1,QUARTZITE,2023-12-12,Main_Lode_Central,0,synthetic
DH-0136,21.867679,80.195736,376.2,122.8,57.8,64.1,6.3,5.69,6.83,72.49,QUARTZITE,2023-06-30,Main_Lode_Central,0,synthetic
DH-0137,21.875798,80.199364,382.5,62.5,33.8,40.9,7.1,20.46,9.94,19.68,GONDITE,2025-09-04,Main_Lode_Central,1,synthetic
DH-0138,21.869575,80.188843,374.2,96.7,48.3,59.2,10.9,31.82,7.14,24.12,MANSAR_SCHIST,2023-01-29,Main_Lode_Central,1,synthetic
DH-0139,21.882103,80.191399,407.6,165.4,33.7,39.4,5.7,1.1,3.77,75.8,TIRODI_GNEISS,2024-05-24,Main_Lode_Central,0,synthetic
DH-0140,21.883886,80.183786,355.6,75.5,23.9,25.6,1.7,2.46,4.42,58.98,CALC_GRANULITE,2025-10-27,Main_Lode_Central,0,synthetic
DH-0141,21.871517,80.190659,362.6,124.5,16.5,19.5,3.0,33.35,8.12,21.6,MANSAR_SCHIST,2024-08-18,Main_Lode_Central,1,synthetic
DH-0142,21.883122,80.200291,376.5,106.6,45.4,55.8,10.4,30.14,8.2,25.95,GONDITE,2023-10-02,Main_Lode_Central,1,synthetic
DH-0143,21.882925,80.189173,395.9,91.3,33.8,38.5,4.7,30.02,6.14,14.76,GONDITE,2025-04-06,Main_Lode_Central,1,synthetic
DH-0144,21.877483,80.188004,404.3,47.6,28.7,30.6,1.9,7.45,3.74,63.52,QUARTZITE,2023-02-14,Main_Lode_Central,0,synthetic
DH-0145,21.877342,80.190562,376.9,124.6,18.5,24.5,6.0,2.47,5.82,65.89,QUARTZITE,2023-03-18,Main_Lode_Central,0,synthetic
DH-0146,21.883223,80.19789,418.4,95.7,25.6,30.3,4.7,0.32,3.05,45.27,TIRODI_GNEISS,2023-04-10,Main_Lode_Central,0,synthetic
DH-0147,21.879016,80.193058,424.9,125.2,76.3,86.3,10.0,22.31,5.64,23.76,MANSAR_SCHIST,2023-02-10,Main_Lode_Central,1,synthetic
DH-0148,21.877975,80.186843,401.7,51.5,21.0,27.9,6.9,35.01,4.9,30.51,MANSAR_SCHIST,2024-06-01,Main_Lode_Central,1,synthetic
DH-0149,21.872268,80.18758,391.9,109.0,24.3,30.1,5.8,4.69,5.3,57.04,QUARTZITE,2023-01-20,Main_Lode_Central,0,synthetic
DH-0150,21.884847,80.186372,368.3,85.7,12.1,16.7,4.6,1.16,3.04,49.66,TIRODI_GNEISS,2023-10-08,Main_Lode_Central,0,synthetic
DH-0151,21.873415,80.195929,372.1,101.5,49.3,54.6,5.3,6.28,3.38,73.79,QUARTZITE,2024-08-01,Main_Lode_Central,0,synthetic
DH-0152,21.872198,80.196864,384.9,60.4,27.6,32.9,5.3,2.88,4.34,66.57,QUARTZITE,2024-06-22,Main_Lode_Central,0,synthetic
DH-0153,21.885603,80.194449,393.2,157.3,55.9,59.8,3.9,4.17,4.66,70.74,QUARTZITE,2023-11-25,Main_Lode_Central,0,synthetic
DH-0154,21.872928,80.199662,423.2,50.3,33.0,43.4,10.4,17.72,6.39,16.57,GONDITE,2025-09-11,Main_Lode_Central,0,synthetic
DH-0155,21.874834,80.190867,367.4,89.6,10.8,14.3,3.5,32.93,10.13,27.97,MANSAR_SCHIST,2023-08-15,Main_Lode_Central,1,synthetic
DH-0156,21.87756,80.183862,357.1,157.8,75.6,83.2,7.6,1.65,4.28,49.95,TIRODI_GNEISS,2025-11-13,Main_Lode_Central,0,synthetic
DH-0157,21.871046,80.188913,382.5,55.1,9.1,11.9,2.8,0.83,6.68,63.56,TIRODI_GNEISS,2024-04-18,Main_Lode_Central,0,synthetic
DH-0158,21.878369,80.193373,401.3,106.7,29.2,30.6,1.4,0.51,5.07,56.75,CALC_GRANULITE,2023-12-24,Main_Lode_Central,0,synthetic
DH-0159,21.875917,80.185271,406.5,163.0,58.3,64.0,5.7,1.81,4.71,73.09,CALC_GRANULITE,2025-05-22,Main_Lode_Central,0,synthetic
DH-0160,21.872965,80.18825,374.7,144.7,115.4,122.6,7.2,2.54,3.65,60.33,QUARTZITE,2023-01-20,Main_Lode_Central,0,synthetic
DH-0161,21.886362,80.179686,366.3,160.0,54.4,67.2,12.8,37.19,7.57,15.72,MANSAR_SCHIST,2024-07-03,Northern_Limb,1,synthetic
DH-0162,21.889521,80.179981,412.9,163.6,60.4,63.8,3.4,5.2,6.33,61.83,QUARTZITE,2023-08-22,Northern_Limb,0,synthetic
DH-0163,21.889129,80.183212,384.8,99.1,30.1,37.0,6.9,20.3,8.37,15.85,GONDITE,2025-09-06,Northern_Limb,1,synthetic
DH-0164,21.88167,80.176413,357.2,153.0,127.3,129.5,2.2,0.67,2.62,68.07,TIRODI_GNEISS,2023-09-29,Northern_Limb,0,synthetic
DH-0165,21.885922,80.179508,374.2,139.0,121.9,134.1,12.2,25.43,4.6,29.93,MANSAR_SCHIST,2023-08-01,Northern_Limb,1,synthetic
DH-0166,21.884105,80.181068,401.3,101.2,46.6,51.6,5.0,0.58,3.94,66.15,TIRODI_GNEISS,2025-06-16,Northern_Limb,0,synthetic
DH-0167,21.884923,80.184453,413.7,69.5,47.5,52.8,5.3,3.01,6.9,50.07,CALC_GRANULITE,2023-09-25,Northern_Limb,0,synthetic
DH-0168,21.883666,80.184252,400.0,110.2,15.8,19.7,3.9,1.93,4.09,62.4,CALC_GRANULITE,2023-04-05,Northern_Limb,0,synthetic
